duration,date,subject.code,prolific.id,comprehension1,comprehension2,comprehension3,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,zi,zj,zk,zl,zm,norm1,norm2,norm3,norm4,norm5,norm6,age,gender,gender.text,race,race.text,race.text2,education,education.text,income,language,language.text,political,religion,religion.text,religiosity,birthplace,birthcity,birth.other,grew.up,grew.up.city,grew.up.other,years.here,comments
2211,1/24/23 12:03,R_vHOrPti0pEVPc4x,616326a20970334859e5230d,Collect water ,Three ,Leave waiting ,-3,-26,0,0,0,-19,-25,21,26,3,44,13,26,18,22,2,27,-38,19,43,49,1,29,0,0,0,-48,-28,-22,-37,-48,-46,-46,15,12,20,21,14,17,6,6,4,6,5,3,23,1,,2,,,5,,1,1,,4,1,,5,1,Tennessee ,,1,Tennessee ,,23,No
1801,1/24/23 12:03,R_3KrwIEiFNwyLrls,5df63faaa98a7a45159a9bba,to collect water from a water source,1,"to leave the line and try to get water faster for themselves, instead of everyone staying in line. ",-29,18,-25,-45,-41,-25,-45,-30,-20,-30,30,-19,30,-30,21,-20,-20,-40,-38,45,41,35,32,-36,15,15,-50,-28,-26,-31,-40,-40,-41,-40,-31,-11,0,5,-15,4,4,4,4,4,4,40,2,,1,,,7,,3,1,,1,11,,1,1,South Dakota,,1,South Dakota,,40,
1869,1/24/23 12:05,R_6rOmpFR4YjwG0BX,5607080ed7def20012b733c3,to quickly collect water in a bucket and bring it back to where they are stored,three,leave the line instead of staying in line,50,47,50,-30,-50,14,12,-11,37,15,50,50,14,46,32,41,-7,-34,-48,50,50,50,45,15,50,41,-50,0,32,32,-40,-50,-50,-10,-50,28,20,20,20,5,5,5,4,4,2,28,1,,1,,,7,,4,1,,2,11,,1,1,New Jersey,,1,New Jersey,,28,
2354,1/24/23 12:07,R_eeMg8U5womHNF61,5fa19ab9ab63a72cffb4b521,Collect water and bring it to the wooden storage buckets as quickly as possible,One,leave the line instead of everyone staying in the line,10,41,29,0,-9,5,-48,0,19,0,12,11,20,25,18,15,6,11,4,48,50,49,16,11,2,9,-29,0,4,8,0,31,-34,0,3,5,7,13,0,5,5,4,5,5,4,53,1,,1,,,4,,6,1,,2,2,,4,1,Illinois,,1,Illinois,,53,Nothing. Thank you.
3301,1/24/23 12:07,R_ufUR3Su9erPZhyp,5f32e865bd94490a64d9c9f5,To collect water and bring it back to the wooden storage buckets.,1,leave the line and try and get water faster - staying in line.,50,50,30,-50,-50,-20,-50,-50,50,-50,50,30,30,20,15,10,-30,-40,-10,50,50,50,30,20,-10,-10,-50,10,-30,-20,-30,-50,-50,10,10,20,10,-40,-50,5,6,5,4,6,5,34,2,,1,,,4,,1,1,,5,1,,2,1,Florida,,1,Florida,,34,no
2160,1/24/23 12:12,R_2dMWycJ8dauXSdx,63d000d62878aa92b833c5fc,To fill up a bucket of water,One,leave the line instead of staying in line,11,0,30,-25,-50,-29,-50,-50,9,-48,50,15,19,30,30,13,9,-44,5,40,50,50,32,33,26,11,-50,-9,14,11,7,-50,-50,20,21,20,25,6,6,5,5,5,6,5,3,40,1,,1,,,7,,4,1,,1,10,,1,1,Washington,,1,Washington,,40,
3510,1/24/23 12:12,R_3mk0cu2a0kcfaSa,5efb37df80745a0577feb997,Collecting water to fill up a storage bucket,1,leave the line and try to get water faster for themselves instead of staying in line,-10,20,-31,-50,-43,-33,-50,-5,31,-13,50,37,20,-9,29,12,-31,-50,-30,50,47,50,50,-33,-25,-28,-50,-34,-39,-50,-50,-50,-38,-50,-50,-42,-46,-50,-50,5,5,5,5,5,3,21,1,,1,,,6,,1,1,,3,11,,1,1,Michigan,,1,Michigan,,21,"Everything was clear, especially after the first demonstration"
2375,1/24/23 12:14,R_3GdfcgvTi8pXOSv,5d422e095a696a0019afa849,to collect water,one ,leave the line at once waiting ,18,48,35,-21,-20,-18,-38,-13,31,-9,43,29,36,12,31,-10,-12,-27,-6,49,47,47,23,-4,26,34,-38,-9,-39,-46,-8,-33,-38,-9,-16,17,14,33,36,5,3,2,5,6,3,48,1,,1,,,7,,5,1,,1,10,,1,1,Wisconsin,,1,Wisconsin,,48,
1297,1/24/23 12:14,R_31pzf0Jx1WFjqlw,610434dbaa187bfdbe2e8ac9,collect water and bring it back to the buckets,one,leave the line instead of waiting,-50,-39,-29,-23,-50,-16,-50,-46,37,-39,38,19,38,-42,27,-33,-50,-50,7,50,50,50,27,-46,15,-25,-22,-23,-36,-50,-50,-43,-48,33,23,13,22,-36,-14,6,5,2,5,4,2,26,1,,1,,,8,,4,1,,2,12,,1,1,nj,,1,new jersey,,26,
1932,1/24/23 12:15,R_1jNGHGsMwnv28ul,6172fca51b3660f11a5e7090,to collect water and bring it back to a wooden storage bucket,one,leave the line everyone staying in line,40,42,25,-25,0,20,22,0,-42,0,50,50,50,50,50,38,23,-18,11,50,50,50,50,24,30,27,-50,6,4,5,20,50,7,-39,-11,27,18,14,28,6,6,5,5,6,5,38,1,,1,,,6,,3,1,,2,10,,1,1,florida,,1,florida,,38,
2970,1/24/23 12:16,R_3Renxa20WBDIWfo,626999199c9e21ac3bb4100f,To collect water and bring it back the fastest in wooden storage bins,3,Leave the line and try get water faster for themselves. Instead of everyone staying in line,-27,8,-4,-26,-35,14,-10,36,-13,0,0,-12,29,0,0,9,0,-22,17,27,19,-24,10,-16,0,-12,0,-38,-23,-5,20,-13,-18,0,-9,0,0,0,15,5,5,4,6,5,3,53,1,,1,,,4,,1,1,,4,1,,2,1,Louisiana,,1,Louisiana,,53,No
2434,1/24/23 12:18,R_2Et5O1r8XPyRY5g,61156ab330c20068b3f70144,Collect water and bring it back to storage buckets,1,"Get water faster themselves, everyone staying in line",-15,45,30,-45,-41,-40,-50,-50,-30,-45,50,-25,-5,-10,-6,-40,-25,-50,-30,50,50,50,10,15,3,-44,-50,-45,-45,-46,-50,-50,-50,-30,-31,-39,-40,-41,-41,6,5,4,6,6,5,31,1,,4,Black and White,,9,Associates degree,4,1,,3,11,,1,1,Texas,,1,Texas,,31,
2581,1/24/23 12:19,R_3qDto9pCPu9Bw5y,60fd2b7dcea367e25e07479a,The people trying to collect water from source and bringe it wooden storage bucckets,one square ,try to get water at least onecs think my judgments,40,37,-27,28,38,-21,-49,30,-36,20,49,-28,40,-21,-30,45,50,50,19,36,30,-26,42,50,48,-21,30,31,-32,29,-40,46,44,34,40,45,-16,-15,-25,5,6,4,6,5,5,40,2,,1,,,7,,4,1,,7,6,,5,1,Michigan,,1,Michigan,,40,No Its very clear
3153,1/24/23 12:19,R_CZz6qgVfnScHiq5,5d9f5c0702dca80018822b8e,Collecting water,1,"leave the line, staying in line",-21,-31,37,-33,-9,-19,-31,-16,0,-5,11,7,12,-17,7,-35,-21,-33,-9,41,41,38,10,-33,-15,-7,-35,-16,-35,-5,-34,-20,-18,8,-9,-6,-11,13,-9,3,4,4,6,3,6,37,2,,1,,,7,,4,1,,6,2,,3,1,Florida,,1,Florida,,37,
3329,1/24/23 12:20,R_3nBCqCUtqVFTrI0,5e7146ee69a3f1061774803b,To collect water and bring it back to wooden storage buckets,1,leave the line at the same time/staying in line,23,12,12,0,21,10,-40,4,-20,-26,22,-9,9,-29,10,-9,-20,-20,-15,15,31,31,24,-9,-8,-21,-47,32,-12,-29,-23,-35,-41,-12,-35,-7,-20,-14,-17,5,3,3,6,4,2,52,1,,3,,,7,,2,1,,1,8,,4,1,Ohio,,1,Ohio,,49,no
3052,1/24/23 12:21,R_XXOsEe77FrCYtd7,62a6c39ce82d993784c0b352,To collect buckets of water,One,Leave stay,-40,20,-20,-50,-30,-10,10,0,20,20,50,30,0,-30,20,20,0,0,0,50,50,22,50,0,10,10,20,10,0,-10,0,0,0,30,30,50,15,-20,10,5,3,2,6,5,2,35,1,,1,,,6,,5,1,,4,13,,2,1,Florida,,1,Florida,,35,
3032,1/24/23 12:21,R_PGapHcX7F2JrNlL,62db1416af9b167aef4bc710,"The goal is to collect one bucket of water for each ""scene"" of the video game. ",one,"leave the line and try to get water faster for themselves, instead of everyone staying in line. ",-20,-20,-30,-30,-50,-50,-50,-30,10,-50,50,-15,50,10,40,-10,-20,-50,-20,50,50,50,50,-50,-50,-50,-50,-50,-50,-50,-20,-50,-50,-30,-30,10,10,10,-10,1,1,1,6,2,1,60,1,,1,,,6,,3,1,,6,1,,5,1,Michigan ,,1,Wisconsin,,60,
2974,1/24/23 12:22,R_3rSWBKASxzn1WCu,60bfa70dc02807c74e0277c7,collect a bucket of water,one,"the same, staying in line",29,42,29,0,-6,-25,-46,0,40,0,50,12,22,13,11,9,-22,-47,-16,48,50,50,24,34,8,7,-50,6,-8,-14,-9,-36,-46,-5,-20,7,4,5,8,4,5,5,4,3,5,45,1,,1,,,5,,4,1,,4,1,,5,1,Texas,,1,Texas,,45,no
2224,1/24/23 12:26,R_2bZQfabnPp5zGxV,611e64ad7ea7083dd09ce1dc,Collect water from a water source and bring it back to the wooden storage buckets.,1,if everyone felt at liberty to do LEAVE THE LINE instead of STAYING IN LINE.,30,25,31,36,-30,35,26,-24,16,-32,36,-39,19,40,22,-15,-15,-38,15,35,45,25,33,-18,19,37,-13,10,20,-11,27,-21,19,-15,10,21,25,-20,20,5,4,4,5,6,5,28,1,,1,,,7,,3,1,,5,2,,4,1,NJ,,1,NJ,,28,No problem.
3084,1/24/23 12:27,R_33dMzf9QgBTvzIa,63d01e0731b6c1359a543d57,To collect water from a water source ,One ,Leave the line staying in line,30,49,50,0,0,0,-19,-10,11,14,17,19,31,-10,24,-3,-8,-35,-20,50,50,50,50,-14,-6,-7,-50,0,-9,-32,-13,-23,-34,-17,-14,18,8,0,-12,5,4,4,5,3,4,33,1,,1,,,7,,4,1,,4,3,,4,1,GA,,1,GA,,30,No
3207,1/24/23 12:28,R_2uKyAYX0uVcDp5V,63d00077cc15749d84f2a41f,To collect a bucket of water faster than other participants ,8,leave the line and get water faster for themselves,-28,7,30,-42,20,-20,-20,12,-30,10,0,0,-2,4,-9,4,0,5,4,38,20,10,10,7,9,10,8,8,-7,3,6,3,13,-30,27,17,6,23,17,5,5,5,5,5,5,52,1,,2,,,8,,5,1,,4,1,,3,1,Carlifonia ,,1,Carlifonia,,52,n/a
3176,1/24/23 12:29,R_2uxDBKloZO3l4p5,614e3f7def73ee04e730819e,collect water and bring to storage buckets as quickly as possible,1,"getting water, waiting in line",42,31,0,-30,-50,-50,-50,-50,-20,-50,50,-10,45,-30,20,-40,-45,-50,-40,50,50,50,50,-40,-20,-35,-30,-50,-28,-35,-40,-50,-50,-41,-40,16,21,-20,-10,5,4,4,6,5,5,47,1,,1,,,7,,2,1,,2,10,,1,1,California,,1,Georgia,,47,no
3504,1/24/23 12:33,R_1o6g2UdSHt2gzKi,5e8e658fa9e4ef1143ae329f,To collect water and bring it back to the storage bucket as quickly as possible.,One square,leaving the line instead of staying in line,-8,4,7,-19,-43,-31,-43,40,20,-39,-48,-17,7,11,16,10,3,-46,2,44,49,40,41,15,34,7,-50,12,14,-13,-21,-44,-48,-3,-4,27,-5,12,-5,5,6,5,6,5,5,49,1,,1,,,6,,6,1,,3,13,,4,1,IN,,1,FL,,49,
2646,1/24/23 13:35,R_ZwUKUhG7ztdMPbr,62d6e24cf74647ef51a16300,To collect one bucket of water and bring it to a storage bucket.,1,"that, wait",48,39,25,-30,-45,-50,-46,-28,-1,-5,50,25,41,-18,15,-33,-50,-49,-35,50,45,50,15,-50,-36,18,-50,-7,-46,-43,-50,-50,-37,-46,-40,-13,-47,6,-15,4,5,4,6,4,5,31,2,,1,,,6,,3,1,,5,11,,2,1,South Carolina,,1,South Carolina,,30,The phrasing on the question was a little confusing as far as whether you were rating them if they all went at once or if they all stayed in line.
